date,oil_productivity,gas_productivity,operator_name
2014-03-01,3282.56,5482.64,WPX ENERGY WILLISTON LLC
2014-02-01,3148.56,4362.36,WPX ENERGY WILLISTON LLC
2014-01-01,3422.6,4754.56,WPX ENERGY WILLISTON LLC
2013-12-01,3505.8,4509.64,WPX ENERGY WILLISTON LLC
2013-11-01,3466.28,4813.08,WPX ENERGY WILLISTON LLC
2013-10-01,3690.52,6111.28,WPX ENERGY WILLISTON LLC
2013-09-01,3929.88,6429.2,WPX ENERGY WILLISTON LLC
2013-08-01,4462.84,6359.32,WPX ENERGY WILLISTON LLC
2013-07-01,4621.32,7678.92,WPX ENERGY WILLISTON LLC
2013-06-01,4677.88,6631.6,WPX ENERGY WILLISTON LLC
2013-05-01,5273.8,8559.48,WPX ENERGY WILLISTON LLC
2013-04-01,5743.28,7073.32,WPX ENERGY WILLISTON LLC
2013-03-01,6725.083333333333,10054.583333333334,WPX ENERGY WILLISTON LLC
2013-02-01,5727.695652173913,8249.826086956522,WPX ENERGY WILLISTON LLC
2013-01-01,5512.173913043478,7193.434782608696,WPX ENERGY WILLISTON LLC
2012-12-01,6313.85,8787.5,WPX ENERGY WILLISTON LLC
2012-10-01,6262.8421052631575,8130.0,WPX ENERGY WILLISTON LLC
2012-09-01,6173.315789473684,8145.736842105263,WPX ENERGY WILLISTON LLC
2012-08-01,7221.333333333333,8394.5,WPX ENERGY WILLISTON LLC
2012-07-01,6629.111111111111,7803.444444444444,WPX ENERGY WILLISTON LLC
2012-06-01,7656.5,8857.4375,WPX ENERGY WILLISTON LLC
2012-05-01,7775.882352941177,8938.058823529413,WPX ENERGY WILLISTON LLC
2012-04-01,8504.625,9723.75,WPX ENERGY WILLISTON LLC
2012-03-01,7565.066666666667,8838.133333333333,WPX ENERGY WILLISTON LLC
2012-02-01,7588.538461538462,7404.538461538462,WPX ENERGY WILLISTON LLC
2012-01-01,7412.615384615385,5636.384615384615,WPX ENERGY WILLISTON LLC
2011-12-01,9366.888888888889,5680.111111111111,WPX ENERGY WILLISTON LLC
2011-11-01,7989.25,4116.125,WPX ENERGY WILLISTON LLC
2011-10-01,8052.571428571428,2037.7142857142858,WPX ENERGY WILLISTON LLC
2011-09-01,5595.166666666667,1181.6666666666667,WPX ENERGY WILLISTON LLC
2011-08-01,9156.2,5931.2,WPX ENERGY WILLISTON LLC
2011-07-01,5225.8,3825.0,WPX ENERGY WILLISTON LLC
2011-06-01,5079.0,4254.75,WPX ENERGY WILLISTON LLC
2011-05-01,5668.2,4104.6,WPX ENERGY WILLISTON LLC
2011-04-01,5903.0,4867.5,WPX ENERGY WILLISTON LLC
2011-03-01,8102.25,6871.25,WPX ENERGY WILLISTON LLC
2011-02-01,8423.25,5724.0,WPX ENERGY WILLISTON LLC
2011-01-01,5381.25,4584.0,WPX ENERGY WILLISTON LLC
2010-12-01,8979.0,8696.0,WPX ENERGY WILLISTON LLC
2010-11-01,11416.666666666666,11820.333333333334,WPX ENERGY WILLISTON LLC
2010-10-01,10899.5,10705.75,WPX ENERGY WILLISTON LLC
2010-09-01,11126.5,10666.0,WPX ENERGY WILLISTON LLC
2010-08-01,3765.0,3679.0,WPX ENERGY WILLISTON LLC
2010-06-01,3024.5,2393.0,WPX ENERGY WILLISTON LLC
2010-02-01,6235.5,5036.0,WPX ENERGY WILLISTON LLC
